"","V1","V2","V3","V4","V5"
"1",0,13.914336919011,9684646454.89452,0,0
"2",1,398.731410134281,5.8811045049607e-05,0,0
"3",2,0.587723438414016,5.8811045049607e-05,0,0
"4",4,2.63643296463685,5.8811045049607e-05,0,0
"5",5,0.768943182271939,5.8811045049607e-05,0,0
"6",8,0.539132461273565,9976066537.86632,0,0
"7",9,9999999849.47846,9999999849.47846,0,0
"8",10,0.0787799000847428,5.8811045049607e-05,0,0
"9",11,0.241280289120851,5.8811045049607e-05,0,0
"10",15,5.33005511062313,9974670896.39408,0,0
"11",16,101.41673615337,5.8811045049607e-05,0,0
"12",17,1.50764973892744,5.8811045049607e-05,0,0
"13",18,0.614588271158804,5.8811045049607e-05,0,0
"14",19,8.44072597883993,5.8811045049607e-05,0,0
"15",20,2.18462923245235,9761012968.56888,0,0
"16",21,9999999849.47846,5.8811045049607e-05,0,0
"17",22,0.821553241914227,5.8811045049607e-05,0,0
"18",23,0.333314127876494,5.8811045049607e-05,0,0
"19",25,5.8811045049607e-05,9999999849.47846,0,0
"20",26,1.06257736376041,0.882886354545928,0,0
"21",27,0.391783163063224,5.8811045049607e-05,0,0
"22",28,0.755178835623025,5.8811045049607e-05,0,0
"23",29,5.57363186474147,5.8811045049607e-05,0,0
"24",31,126.845847994234,5.8811045049607e-05,0,0
"25",32,1.95852362700343,9780034496.84773,0,0
"26",33,1.10261664903262,5.8811045049607e-05,0,0
"27",34,3.6486403820468,9978476803.80304,0,0
"28",35,1.52775728731564,9976507816.08137,0,0
"29",36,0.198070782222336,9999999849.47846,0,0
"30",37,1.67881576847945,0.781270406269132,0,0
"31",39,0.900866215044139,5.8811045049607e-05,0,0
"32",40,5.8811045049607e-05,5.8811045049607e-05,0,0
"33",41,0.190182441264626,9999999849.47846,0,0
"34",42,9999084970.08,5.8811045049607e-05,0,0
"35",43,1.32149259701119,9898017488.56472,0,0
"36",45,1.49710401443447,5.8811045049607e-05,0,0
"37",46,1.24598194194985,5.8811045049607e-05,0,0
"38",48,0.161302849499621,5.8811045049607e-05,0,0
"39",50,0.790222694195556,5.8811045049607e-05,0,0
"40",52,2.09352211029469,9931053643.10198,0,0
"41",53,4.67007853102554,5.8811045049607e-05,0,0
