Browser,screenH,screenW,workerid,OS
Firefox,768,1366,0,Windows
Chrome,1080,1920,1,Linux
Firefox,1080,1920,2,Windows
Chrome,900,1600,3,Windows
Chrome,864,1536,4,Windows
Chrome,768,1366,5,Linux
Chrome,1080,1920,6,Windows
Chrome,768,1366,7,Windows
Chrome,720,1280,8,Windows
Chrome,1080,1920,9,Windows
Chrome,768,1366,10,Windows
Chrome,1080,1920,11,Windows
Chrome,768,1366,12,Windows
Chrome,1080,1920,13,Windows
Chrome,1080,1920,14,Windows
Chrome,1080,1920,15,Windows
Chrome,900,1600,16,Windows
Chrome,768,1366,17,Windows
Chrome,1080,1920,18,Windows
Chrome,864,1536,19,Windows
Firefox,576,1024,20,Windows
Chrome,1080,1920,21,Windows
Chrome,900,1600,22,Windows
Chrome,1080,1920,23,Windows
Safari,800,1280,24,Mac
Chrome,1080,1920,25,Windows
Chrome,1080,1920,26,Windows
Chrome,900,1600,27,Windows
Firefox,1080,1920,28,Windows
Chrome,900,1600,29,Windows
Chrome,768,1366,30,Windows
Chrome,665,1182,31,Windows
Chrome,768,1024,32,Linux
Chrome,1080,1920,33,Mac
Chrome,1080,1920,34,Windows
Firefox,858,1525,35,Windows
Chrome,900,1600,36,Windows
Chrome,864,1152,37,Windows
Chrome,768,1366,38,Windows
Chrome,768,1366,39,Windows
Chrome,1440,3440,40,Windows
Chrome,900,1600,41,Windows
Chrome,1440,2560,42,Mac
Chrome,720,1280,43,Windows
Chrome,768,1366,44,Windows
Chrome,1080,1920,45,Windows
Chrome,768,1366,46,Windows
Chrome,1080,1920,47,Windows
Chrome,768,1366,48,Linux
Chrome,800,1280,49,Linux
Chrome,1000,1500,50,Windows
Chrome,768,1360,51,Windows
Chrome,900,1600,52,Windows
Chrome,1080,1920,53,Windows
Chrome,1440,3440,54,Windows
Chrome,1080,1920,55,Windows
Chrome,1080,1920,56,Windows
Chrome,1080,1920,57,Windows
Chrome,864,1536,58,Windows
Chrome,1080,1920,59,Windows
Chrome,1080,1920,60,Linux
Chrome,768,1366,61,Windows
Chrome,768,1366,62,Windows
Chrome,720,1280,63,Windows
Chrome,768,1360,64,Windows
Chrome,900,1600,65,Windows
Chrome,768,1366,66,Windows
Chrome,1080,1920,67,Windows
Chrome,912,1368,68,Windows
Chrome,800,1280,69,Windows
Chrome,1080,1920,70,Windows
Chrome,768,1366,71,Windows
Chrome,786,1397,72,Windows
Chrome,900,1600,73,Windows
Chrome,1152,2048,74,Windows
Chrome,768,1366,75,Windows
Firefox,900,1600,76,Windows
Chrome,1080,1920,77,Windows
Chrome,768,1366,78,Linux
Chrome,768,1366,79,Linux
