workerid,anon_workerid
A3KKXA7COL5JHL,0
A6SF30ZZJMJ1N,1
A3DUZ6WCFZRLX9,2
ALV4DAF8DIJ37,3
A1ERMRNNR0CZ2Y,4
A1RVRBKEQL1ZPG,5
A27PINUYH0XHRB,6
AUAN582MLI96N,7
A1TMWYZL6USNIF,8
A1NZFJHVJ9CNTO,9
A2DVV59R1CQU6T,10
A25CFVQND4A0EV,11
A248QG4DPULP46,12
A2Z43TA0WZ0EG0,13
AGKL1HOKIR138,14
A2SKXKH9YXZYRI,15
A2FBT0BSFOV91D,16
A1VWLIXBS4WDOD,17
A256FHXGSY0E5D,18
AZVJA0TUHIUJK,19
A2541C8MY0BYV3,20
A270HX8LH9LJ8W,21
A29VL3MZE7YPBZ,22
A2615YW1YERQBO,23
A1G2U62KJ13ZF0,24
A1DZMZTXWOM9MR,25
AQJWO4YPR3LUQ,26
A2BK9RMC0NOIH8,27
A1VEXF7BDDZIMI,28
ASKAY33IJ3KAQ,29
A2Y3P7DG0HC2B9,30
A1LRJ4U04532TM,31
A26SF9CTNKKBYB,32
AADRVG2QVZH75,33
A22ON3MIIG0IJA,34
A3GVUYY3TWRPZT,35
A9A2IX3OBORBE,36
A3CQDCNYJAX2X3,37
A18E16UFE351U6,38
A37OUZOGQKGMW0,39
AIPHJXQEDNW9L,40
A3D9L5CQXK1YJL,41
A1SHLWKA0UH1IS,42
A8028AFBBS29G,43
A1RV2LERVS0A4H,44
A1N3YG2X9SO4PN,45
AIOZF654BN0LT,46
A2GA29WTMFW2W,47
A1NR3COO33J99C,48
AXO22N46CSNVT,49
A2CTA782EBXUCT,50
A2R9OK4M877ZCC,51
A2YWSSQEXXCRGK,52
A3822BB341LIB2,53
ARWN6TT8EWCFJ,54
A27SMEOPKV84VI,55
A2PXJTMWGUE5DC,56
A2N2GFB33ZMYGF,57
A3C7COPV48I37D,58
A1SOQ9Q35SASE4,59
A22DF0EWILGRLV,60
A1J1PWS99LFVPL,61
A1AA0WXXEHPM3V,62
AMKU7YXM3RZ8I,63
A1F9KLZGHE9DTA,64
A1Z1O6MMOB3UWW,65
A2DH6KE258SZBH,66
A26LOVXF4QZZCO,67
A3O0QZQ4V2IXT7,68
A3P46WP16JCU2V,69
A2OEH60JF5MCOM,70
A6BXO4JNQP7W9,71
ADT6AD3LK64AH,72
A1HWB810RJBV2K,73
A50K26F2IS94U,74
A1TYMXIYUUUL6F,75
A19KXJ5PWHS6YH,76
AVNXCGTZQ1CFK,77
A2BVUVKIS50IR8,78
AYHZO44JGKIM0,79
